ctr : 0  | I: 0033 | Q: fff2
ctr : 1  | I: 0011 | Q: 000d
ctr : 2  | I: 0004 | Q: 0002
ctr : 3  | I: 000b | Q: 000c
ctr : 4  | I: 0005 | Q: 0005
ctr : 5  | I: 0015 | Q: 0015
ctr : 6  | I: fee5 | Q: 00b3
ctr : 7  | I: 00f2 | Q: ff0d
ctr : 8  | I: ff1d | Q: 00c5
ctr : 9  | I: 00bc | Q: fedf
ctr : 10  | I: ff5d | Q: 011c
ctr : 11  | I: 0087 | Q: fef3
ctr : 12  | I: 0078 | Q: fed6
ctr : 13  | I: ffb4 | Q: 0125
ctr : 14  | I: 0023 | Q: fedd
ctr : 15  | I: ffea | Q: 0157
ctr : 16  | I: fff0 | Q: feb1
ctr : 17  | I: 0046 | Q: 0121
ctr : 18  | I: ff8f | Q: fed6
ctr : 19  | I: 0055 | Q: 0136
ctr : 20  | I: ff8d | Q: fed3
ctr : 21  | I: 008d | Q: 00fe
ctr : 22  | I: ff42 | Q: ff03
ctr : 23  | I: 00c0 | Q: 00ef
ctr : 24  | I: ff1e | Q: ff1e
ctr : 25  | I: ff0a | Q: ff32
ctr : 26  | I: 00fd | Q: 00b8
ctr : 27  | I: feda | Q: ff5f
ctr : 28  | I: 012d | Q: 0069
ctr : 29  | I: feeb | Q: ffca
ctr : 30  | I: 0131 | Q: 0025
ctr : 31  | I: fea8 | Q: ffe4
ctr : 32  | I: 0157 | Q: ffb2
ctr : 33  | I: fec6 | Q: 0042
ctr : 34  | I: 011d | Q: ffa2
ctr : 35  | I: fece | Q: 0074
ctr : 36  | I: fecb | Q: 0085
ctr : 37  | I: 011a | Q: ff59
ctr : 38  | I: ff0e | Q: 00a3
ctr : 39  | I: 00f7 | Q: ff3c
ctr : 40  | I: ff35 | Q: 010c
ctr : 41  | I: 00b1 | Q: fefc
ctr : 42  | I: ff72 | Q: 0128
ctr : 43  | I: 0061 | Q: fed6
ctr : 44  | I: ff94 | Q: 00f8
ctr : 45  | I: 0035 | Q: feed
ctr : 46  | I: 0005 | Q: 012d
ctr : 47  | I: fffe | Q: fedc
ctr : 48  | I: 0030 | Q: 012d
ctr : 49  | I: 0063 | Q: 011a
ctr : 50  | I: ff90 | Q: fee0
ctr : 51  | I: 0077 | Q: 00db
ctr : 52  | I: ff61 | Q: ff06
ctr : 53  | I: 00a7 | Q: 00bf
ctr : 54  | I: ff39 | Q: ff39
ctr : 55  | I: 00e5 | Q: 00d8
ctr : 56  | I: ff19 | Q: ff71
ctr : 57  | I: 0100 | Q: 00ac
ctr : 58  | I: fef0 | Q: ff94
ctr : 59  | I: 012f | Q: 0057
ctr : 60  | I: 011b | Q: 0037
ctr : 61  | I: fede | Q: fff0
ctr : 62  | I: 00f7 | Q: fff9
